NAME
Loaded Shuriken
Spinning Shuriken
Phantom Kunai
Gouging Top
Sen Throw
Lazulite Shuriken
Spring-load Flame Vent
Okinaga's Flame Vent
Flame Vent
Lazulite Sacred Flame
Loaded Axe
Spring-load Axe
Sparking Axe
Lazulite Axe
Shinobi Firecracker
Spring-load Firecracker
Long Spark
Purple Fume Spark
Loaded Spear
Loaded Spear Thrust Type
Loaded Spear Cleave Type
Spiral Spear
Leaping Flame
Mist Raven
Aged Feather Mist Raven
Great Feather Mist Raven
Loaded Umbrella
Loaded Umbrella - Magnet
Phoenix's Lilac Umbrella
Suzaku's Lotus Umbrella
Sabimaru
Improved Sabimaru
Piercing Sabimaru
Lazulite Sabimaru
Divine Abduction
Double Divine Abduction
Golden Vortex
Mountain Echo
Finger Whistle
Malcontent
