NAME,DLC,COVENANT
Soul Arrow,0,0
Great Soul Arrow,0,0
Heavy Soul Arrow,0,0
Great Heavy Soul Arrow,0,0
Homing Soul Arrow,0,0
Heavy Homing Soul Arrow,0,0
Homing Soul Mass,0,0
Homing Crystal Soul Mass,0,0
Soul Spear,0,0
Crystal Soul Spear,0,0
Shockwave,0,0
Soul Spear Barrage,0,0
Soul Shower,0,0
Soul Greatsword,0,0
Soul Vortex,0,0
Soul Bolt,0,0
Soul Geyser,0,0
Magic Weapon,0,0
Great Magic Weapon,0,0
Crystal Magic Weapon,0,0
Strong Magic Shield,0,0
Yearn,0,0
Hush,0,0
Fall Control,0,0
Hidden Weapon,0,0
Repair,0,0
Cast Light,0,0
Chameleon,0,0
Unleash Magic,0,0
Focus Souls,1,0
Soul Flash,1,0
Dark Orb,0,0
Dark Hail,0,0
Dark Fog,0,0
Affinity,0,0
Dead Again,0,0
Dark Weapon,0,0
Whisper of Despair,0,0
Repel,0,0
Twisted Barricade,0,0
Numbness,0,0
Scraps of Life,0,0
Darkstorm,0,0
Resonant Soul,0,0
Great Resonant Soul,0,0
Climax,0,1
Resonant Flesh,0,0
Resonant Weapon,0,0
Lifedrain Patch,0,0
Profound Still,0,0
Promised Walk of Peace,1,0
Dark Greatsword,1,0
Recollection,1,0
Dark Dance,1,0
Fireball,0,0
Fire Orb,0,0
Great Fireball,0,0
Great Chaos Fireball,0,0
Firestorm,0,0
Fire Tempest,0,0
Chaos Storm,0,0
Combustion,0,0
Great Combustion,0,0
Fire Whip,0,0
Poison Mist,0,0
Toxic Mist,0,0
Acid Surge,0,0
Lingering Flame,0,0
Flame Swathe,0,0
Forbidden Sun,0,0
Flame Weapon,0,0
Flash Sweat,0,0
Iron Flesh,0,0
Warmth,0,0
Immolation,0,0
Outcry,1,0
Dance of Fire,1,0
Fire Snake,1,0
Heal,0,0
Med Heal,0,0
Great Heal Excerpt,0,0
Great Heal,0,0
Soothing Sunlight,0,0
Replenishment,0,0
Resplendent Life,0,0
Bountiful Sunlight,0,0
Caressing Prayer,0,0
Force,0,0
Wrath of the Gods,0,0
Emit Force,0,0
Heavenly Thunder,0,0
Lightning Spear,0,0
Great Lightning Spear,0,0
Sunlight Spear,0,1
Soul Appease,0,0
Blinding Bolt,0,0
Magic Barrier,0,0
Great Magic Barrier,0,0
Homeward,0,0
Guidance,0,0
Sacred Oath,0,0
Unveil,0,0
Perseverance,0,0
Sunlight Blade,0,0
Denial,1,0
Splintering Lightning Spear,1,0
