NAME,DLC,COVENANT
Undead Lockaway Key,0,0
Lenigrast's Key,0,0
Soldier Key,0,0
Key to King's Passage,0,0
Bastille Key,0,0
Iron Key,0,0
Forgotten Key,0,0
Brightstone Key,0,0
Antiquated Key,0,0
Fang Key,0,0
House Key,0,0
Tseldora Den Key,0,0
Aldia Key,0,0
Eternal Sanctum Key,1,0
Heavy Iron Key,1,0
Tower Key,1,0
Rotunda Lockstone,0,0
Giant's Kinship,0,0
Ashen Mist Heart,0,0
Ladder Miniature,0,0
Dull Ember,0,0
Dragon Talon,1,0
Dragon Stone,1,0
Scorching Iron Scepter,1,0
Frozen Flower,1,0
Garrison Ward Key,1,0
Eye of the Priestess,1,0
Torch,0,0
Hello Carving,0,0
Thank You Carving,0,0
I'm Sorry Carving,0,0
Very Good! Carving,0,0
Rubbish,0,0
Dragon Head Stone,0,0
Dragon Torso Stone,0,0
Darksign,0,0
Aged Feather,0,0
Binoculars,0,0
Petrified Egg,0,0
White Sign Soapstone,0,0
Small White Soapstone,0,0
Red Sign Soapstone,0,0
Dragon Eye,0,1
Dried Fingers,0,0
Crushed Eye Orb,0,0
Champion's Tablet,0,0
