NAME
Dagger
Parrying Dagger
Secret Dagger
Baby's Nail
Blueblood Sword
Broad Sword
Broken Sword
Long Sword
Knight Sword
Kris Blade
Penetrating Sword
Rune Sword
Short Sword
Bastard Sword
Claymore
Demonbrandt
Flamberge
Large Sword of Moonlight
Northen Regalia
Morion Blade
Soulbrandt
Storm Ruler
Dragon Bone Smasher
Great Sword
Blind
Falchion
Kilij
Large Sword of Searching
Scimitar
Shotel
Hiltless
Maigc Sword Makoto
Uchigatana
Epee Rapier
Estoc
Geri's Stiletto
Needle of Eternal Agony
Mail Breaker
Rapier
Spiral Rapier
Battle Axe
Guilotine Axe
Crescent Axe
Dozer Axe
Great Axe
Club
Mace
Morning Star
Pickaxe
War Pick
Bramd
Great Club
Meat Cleaver
Claws
Hands of God
Iron Knuckles 
Istarelle
Scraping Spear
Short Spear
Winged Spear
Halberd
Mirdan Hammer
Phosphorescent Pole
War Scythe
Compound Long Bow
Compound Short Bow
Lava Bow
Long Bow
Short Bow
White Bow
Gargoyle Crossbow
Heavy Crossbow
Light Crossbow
Insanity Catalyst
Silver Catalyst
Wooden Catalyst
Talisman of Beats
Talisman of God
Buckler
Leather Shield
Rune Shield
Dregling Shield
Soldier's Shield
Wooden Shield
Dark Silver Shield
Heater Shield
Kite Shield
Knight's Shield
Spiked Shield
Hoplite Shield
Adjudicator's Shield
Large Brushwood Shield
Purple Flame Shield
Steel Shield
Tower Shield
