NAME
Ancient King's Mask
Assassin's Mask
Binded Hood
Brushwood Helm
Mail Coif
Dark Silver Helmet
Dull Gold Helmet
Iron Helmet
Gloom Helm
Gold Mask
Leather Cap
Mirdan Helmet
Monk's Head Collar
Official's Cap
Plate Helmet
Silver Coronet
Three Cornered Hat
Venerable Sage's Hood
Imperial Spy Hood
Fluted Helm
Blue-Eye Knight Helm
Penetrator's Helmet
Ancient King's Breastplate
Barbarian Clothes
Binded Cross
Black Leather Garb
Brushwood Armor
Chain Mail
Coat of Plates
Dark Silver Armor
Dull Gold Armor
Fluted Armor
Gloom Armor
Leather Armor
Mirdan Scale Armor
Old Raggedy Robes
Rogue's Clothes
Saint's Robes
Shaman's Clothes
Venerable Sage's Robe
Wizard's Clothes
Blue-Eye Knight Cuirass
Burrower Armor
Official's Clothes
Imperial Spy Clothes
Penetrator's Cuirass
Ancient King's Gauntlets
Barbarian Armbands
Binded Gloves
Black Gloves 
Brushwood Gauntlets
Chain Gloves
Dark Silver Gauntlets
Dull Gold Gauntlets
Fluted Gauntlets
Gloom Gauntlets
Imperial Spy Gloves
Leather Gloves
Mirdan Gauntlets
Old Raggedy Gloves
Plate Gauntlets
Rogues's Gloves
Saint's Gloves
Shaman's Armband
Silver Bracelet
Venerable Sage's Gloves
Wizard's Gloves
Official's Gloves
Blue-Eye Knight Gauntlets
Penetrator's Gauntlets
Ancient King's Greaves
Barbarian Leggings
Binded Boots
Black Boots
Brushwood Leggings
Dark Silver Greaves
Dull Gold Leggings
Fluted Greaves
Gloom Greaves
Hard Leather Boots
Imperial Spy Leggings
Leather Boots
Mirdan Leggings
Old Ragged Boots
Plate Greaves
Rogue's Boots
Saint's Boots
Shaman's Tabi
Venerable Sage's Boots
Wizard's Shoes
Official's Leggings
Burrowe Boots
Blue-Eye Knight Greaves
Penetrator's Greaves
